id,timestamp,sender,message,reply_to,reaction
46,2026-01-01 09:30:00,acc2,Who's your favorite character from Bleach? ✨,,👏
47,2026-01-01 09:32:00,acc3,Random anime fact: Voice actors in Japan are called seiyuu. 😎,,😎
48,2026-01-01 09:34:00,acc4,No spoilers please! 😀,,❤️
49,2026-01-01 09:36:00,acc1,My favorite moment in Jujutsu Kaisen still gives me chills 📚,35,😮
50,2026-01-01 09:38:00,acc2,I think today's episode was incredible! 🙌,,😮
51,2026-01-01 09:40:00,acc3,That animation quality was insane! 😂,35,👍
52,2026-01-01 09:42:00,acc4,I'm rewatching Solo Leveling this weekend. 🔥,42,😎
53,2026-01-01 09:44:00,acc1,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 📚,50,👏
54,2026-01-01 09:46:00,acc2,Who's your favorite character from Jujutsu Kaisen? 😀,,👍
55,2026-01-01 09:48:00,acc3,My favorite moment in Dragon Ball still gives me chills 💯,,😎
56,2026-01-01 09:50:00,acc4,"Quote of the day: ""A lesson without pain is meaningless."" 📚",52,😂
57,2026-01-01 09:52:00,acc1,I think today's episode was incredible! 🙌,47,🔥
58,2026-01-01 09:54:00,acc2,Anyone watching Steins;Gate lately? 😭,45,🔥
59,2026-01-01 09:56:00,acc3,"Quote of the day: ""Power comes in response to a need."" 🍜",,🔥
60,2026-01-01 09:58:00,acc4,My favorite moment in Haikyuu!! still gives me chills 🍜,48,👏
61,2026-01-01 10:00:00,acc1,Anyone watching Haikyuu!! lately? 🤔,,😮
62,2026-01-01 10:02:00,acc2,My favorite moment in Demon Slayer still gives me chills 😀,51,👏
63,2026-01-01 10:04:00,acc3,That animation quality was insane! 😂,50,😮
64,2026-01-01 10:06:00,acc4,No spoilers please! 😀,56,🔥
65,2026-01-01 10:08:00,acc1,I think today's episode was incredible! 💯,59,❤️
66,2026-01-01 10:10:00,acc2,That animation quality was insane! 💯,,😮
67,2026-01-01 10:12:00,acc3,That animation quality was insane! 💯,65,😂
68,2026-01-01 10:14:00,acc4,Anyone watching Frieren lately? 🍜,,🔥
69,2026-01-01 10:16:00,acc1,I think today's episode was incredible! 💯,60,🔥
70,2026-01-01 10:18:00,acc2,My favorite moment in Death Note still gives me chills 💯,,
71,2026-01-01 10:20:00,acc3,Who's your favorite character from Solo Leveling? 💯,,🔥
72,2026-01-01 10:22:00,acc4,I'm rewatching Jujutsu Kaisen this weekend. ❤️,68,❤️
73,2026-01-01 10:24:00,acc1,That animation quality was insane! ❤️,60,😂
74,2026-01-01 10:26:00,acc2,Random anime fact: Did you know? Anime is often adapted from manga or light novels. ❤️,69,😎
75,2026-01-01 10:28:00,acc3,My favorite moment in My Hero Academia still gives me chills ❤️,71,😭
76,2026-01-01 10:30:00,acc4,No spoilers please! 🍜,,😎
77,2026-01-01 10:32:00,acc1,Who's your favorite character from My Hero Academia? ⚡,74,😮
78,2026-01-01 10:34:00,acc2,I'm rewatching Death Note this weekend. 😎,,😮
79,2026-01-01 10:36:00,acc3,No spoilers please! 🤔,,😂
80,2026-01-01 10:38:00,acc4,"Quote of the day: ""A lesson without pain is meaningless."" 🙌",,💯
81,2026-01-01 10:40:00,acc1,Anyone watching Solo Leveling lately? 😭,,💯
82,2026-01-01 10:42:00,acc2,Opening theme has been stuck in my head. 🍜,,👍
83,2026-01-01 10:44:00,acc3,That animation quality was insane! 🍜,78,😎
84,2026-01-01 10:46:00,acc4,That animation quality was insane! 😎,74,👏
85,2026-01-01 10:48:00,acc1,I'm rewatching Haikyuu!! this weekend. 🍜,78,😎
86,2026-01-01 10:50:00,acc2,Anyone watching One Piece lately? 👀,,💯
87,2026-01-01 10:52:00,acc3,Who's your favorite character from Jujutsu Kaisen? 😀,,🔥
88,2026-01-01 10:54:00,acc4,That animation quality was insane! 🎉,,💯
89,2026-01-01 10:56:00,acc1,No spoilers please! 😀,,👏
90,2026-01-01 10:58:00,acc2,Anyone watching Hunter x Hunter lately? 🎉,77,🔥
91,2026-01-01 11:00:00,acc3,Random anime fact: Attack on Titan changed many viewers' expectations of anime. ❤️,76,
92,2026-01-01 11:02:00,acc4,I think today's episode was incredible! 🎉,,
93,2026-01-01 11:04:00,acc1,Opening theme has been stuck in my head. 😂,,😮
94,2026-01-01 11:06:00,acc2,Opening theme has been stuck in my head. 😂,88,🔥
95,2026-01-01 11:08:00,acc3,Opening theme has been stuck in my head. 🍜,91,
96,2026-01-01 11:10:00,acc4,I think today's episode was incredible! 😭,,👏
97,2026-01-01 11:12:00,acc1,That animation quality was insane! 😂,91,😭
98,2026-01-01 11:14:00,acc2,No spoilers please! 🙌,86,
99,2026-01-01 11:16:00,acc3,Opening theme has been stuck in my head. 🍜,,🔥
100,2026-01-01 11:18:00,acc4,I'm rewatching Bleach this weekend. ❤️,94,💯
101,2026-01-01 11:20:00,acc1,I think today's episode was incredible! 🍜,,🔥
102,2026-01-01 11:22:00,acc2,Opening theme has been stuck in my head. 😎,90,😎
103,2026-01-01 11:24:00,acc3,"Quote of the day: ""A lesson without pain is meaningless."" 😂",94,😎
104,2026-01-01 11:26:00,acc4,I'm rewatching Hunter x Hunter this weekend. 💯,,👍
105,2026-01-01 11:28:00,acc1,"Quote of the day: ""A lesson without pain is meaningless."" 😭",,
106,2026-01-01 11:30:00,acc2,I think today's episode was incredible! ✨,,😎
107,2026-01-01 11:32:00,acc3,Who's your favorite character from Solo Leveling? 😎,,❤️
108,2026-01-01 11:34:00,acc4,No spoilers please! 🙌,103,😂
109,2026-01-01 11:36:00,acc1,Opening theme has been stuck in my head. 😎,101,
110,2026-01-01 11:38:00,acc2,"Quote of the day: ""A lesson without pain is meaningless."" 😎",,😮
111,2026-01-01 11:40:00,acc3,Who's your favorite character from One Piece? 🔥,,👍
112,2026-01-01 11:42:00,acc4,I'm rewatching Frieren this weekend. 💯,,👍
113,2026-01-01 11:44:00,acc1,I think today's episode was incredible! ⚡,,👍
114,2026-01-01 11:46:00,acc2,My favorite moment in Steins;Gate still gives me chills 🍜,,❤️
115,2026-01-01 11:48:00,acc3,Opening theme has been stuck in my head. 🎉,100,🔥
116,2026-01-01 11:50:00,acc4,Opening theme has been stuck in my head. 👀,103,😎
117,2026-01-01 11:52:00,acc1,Opening theme has been stuck in my head. 😎,105,
118,2026-01-01 11:54:00,acc2,"Quote of the day: ""People's dreams never end."" 🎉",106,❤️
119,2026-01-01 11:56:00,acc3,My favorite moment in Demon Slayer still gives me chills ✨,,💯
120,2026-01-01 11:58:00,acc4,Who's your favorite character from My Hero Academia? ⚡,,😮
121,2026-01-01 12:00:00,acc1,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 😂",117,
122,2026-01-01 12:02:00,acc2,"Quote of the day: ""People's dreams never end."" ✨",120,😮
123,2026-01-01 12:04:00,acc3,Who's your favorite character from Jujutsu Kaisen? 🔥,120,
124,2026-01-01 12:06:00,acc4,Who's your favorite character from Frieren? ⚡,112,😎
125,2026-01-01 12:08:00,acc1,Anyone watching Death Note lately? 👀,120,👏
126,2026-01-01 12:10:00,acc2,Opening theme has been stuck in my head. ❤️,110,😮
127,2026-01-01 12:12:00,acc3,I'm rewatching Naruto this weekend. ✨,113,
128,2026-01-01 12:14:00,acc4,I'm rewatching Vinland Saga this weekend. 😂,,👏
129,2026-01-01 12:16:00,acc1,Random anime fact: Many anime openings become chart-topping songs. 🍜,,😭
130,2026-01-01 12:18:00,acc2,No spoilers please! 🍜,,❤️
131,2026-01-01 12:20:00,acc3,That animation quality was insane! 😂,128,👍
132,2026-01-01 12:22:00,acc4,No spoilers please! ❤️,,😭
133,2026-01-01 12:24:00,acc1,No spoilers please! 😎,,😮
134,2026-01-01 12:26:00,acc2,Anyone watching My Hero Academia lately? 😂,127,🔥
135,2026-01-01 12:28:00,acc3,No spoilers please! 😀,,🔥
136,2026-01-01 12:30:00,acc4,Random anime fact: One Piece is among the best-selling manga series. 💯,131,😮
137,2026-01-01 12:32:00,acc1,"Quote of the day: ""The world isn't perfect, but it's beautiful."" ⚡",123,💯
138,2026-01-01 12:34:00,acc2,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 🙌,126,💯
139,2026-01-01 12:36:00,acc3,Anyone watching Solo Leveling lately? 🍜,,😮
140,2026-01-01 12:38:00,acc4,I'm rewatching Death Note this weekend. ✨,,😎
141,2026-01-01 12:40:00,acc1,"Quote of the day: ""Power comes in response to a need."" 🍜",128,
142,2026-01-01 12:42:00,acc2,I think today's episode was incredible! 😀,137,💯
143,2026-01-01 12:44:00,acc3,Anyone watching Haikyuu!! lately? ⚡,,
144,2026-01-01 12:46:00,acc4,No spoilers please! 😂,128,😂
145,2026-01-01 12:48:00,acc1,I'm rewatching Vinland Saga this weekend. 😂,133,👏
146,2026-01-01 12:50:00,acc2,I think today's episode was incredible! 🍜,143,😎
147,2026-01-01 12:52:00,acc3,No spoilers please! 🍜,,❤️
148,2026-01-01 12:54:00,acc4,My favorite moment in Hunter x Hunter still gives me chills ❤️,,❤️
149,2026-01-01 12:56:00,acc1,Who's your favorite character from Attack on Titan? 🙌,133,👏
150,2026-01-01 12:58:00,acc2,That animation quality was insane! 🤔,,😎
151,2026-01-01 13:00:00,acc3,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 🔥,,💯
152,2026-01-01 13:02:00,acc4,"Quote of the day: ""Keep moving forward."" 🔥",140,😭
153,2026-01-01 13:04:00,acc1,I'm rewatching Steins;Gate this weekend. 📚,147,😎
154,2026-01-01 13:06:00,acc2,Opening theme has been stuck in my head. 🤔,,💯
155,2026-01-01 13:08:00,acc3,That animation quality was insane! ❤️,140,🔥
156,2026-01-01 13:10:00,acc4,Who's your favorite character from Haikyuu!!? 👀,144,👍
157,2026-01-01 13:12:00,acc1,Anyone watching Haikyuu!! lately? 👀,152,😭
158,2026-01-01 13:14:00,acc2,I think today's episode was incredible! 🎉,,🔥
159,2026-01-01 13:16:00,acc3,My favorite moment in Steins;Gate still gives me chills 💯,153,👍
160,2026-01-01 13:18:00,acc4,I think today's episode was incredible! 👀,145,😮
161,2026-01-01 13:20:00,acc1,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 🔥",,😎
162,2026-01-01 13:22:00,acc2,Who's your favorite character from Dragon Ball? 📚,150,😭
163,2026-01-01 13:24:00,acc3,My favorite moment in Frieren still gives me chills 🎉,148,😂
164,2026-01-01 13:26:00,acc4,No spoilers please! 🍜,,💯
165,2026-01-01 13:28:00,acc1,I'm rewatching One Piece this weekend. 😂,,😮
166,2026-01-01 13:30:00,acc2,"Quote of the day: ""Power comes in response to a need."" 😂",159,😎
167,2026-01-01 13:32:00,acc3,My favorite moment in Solo Leveling still gives me chills 💯,158,😮
168,2026-01-01 13:34:00,acc4,Anyone watching Vinland Saga lately? 😀,,😭
169,2026-01-01 13:36:00,acc1,No spoilers please! 📚,,😭
170,2026-01-01 13:38:00,acc2,Opening theme has been stuck in my head. 😭,156,💯
171,2026-01-01 13:40:00,acc3,Who's your favorite character from Attack on Titan? 😭,,👏
172,2026-01-01 13:42:00,acc4,I think today's episode was incredible! ❤️,,👏
173,2026-01-01 13:44:00,acc1,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 😎",170,😭
174,2026-01-01 13:46:00,acc2,Opening theme has been stuck in my head. 💯,158,👏
175,2026-01-01 13:48:00,acc3,My favorite moment in Hunter x Hunter still gives me chills ❤️,167,🔥
176,2026-01-01 13:50:00,acc4,Random anime fact: Voice actors in Japan are called seiyuu. 🎉,169,👍
177,2026-01-01 13:52:00,acc1,Who's your favorite character from Steins;Gate? ✨,162,👍
178,2026-01-01 13:54:00,acc2,"Quote of the day: ""Power comes in response to a need."" 🎉",162,😂
179,2026-01-01 13:56:00,acc3,That animation quality was insane! 🙌,174,❤️
180,2026-01-01 13:58:00,acc4,Opening theme has been stuck in my head. ✨,,😎
181,2026-01-01 14:00:00,acc1,No spoilers please! 🙌,,👍
182,2026-01-01 14:02:00,acc2,My favorite moment in Naruto still gives me chills 😭,180,😭
183,2026-01-01 14:04:00,acc3,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 👀,,😮
184,2026-01-01 14:06:00,acc4,Who's your favorite character from Solo Leveling? ✨,177,💯
185,2026-01-01 14:08:00,acc1,No spoilers please! 🍜,172,💯
186,2026-01-01 14:10:00,acc2,I'm rewatching My Hero Academia this weekend. 🤔,,❤️
187,2026-01-01 14:12:00,acc3,Who's your favorite character from Solo Leveling? 💯,,😂
188,2026-01-01 14:14:00,acc4,My favorite moment in Death Note still gives me chills 🍜,,❤️
189,2026-01-01 14:16:00,acc1,Opening theme has been stuck in my head. 😀,181,👏
190,2026-01-01 14:18:00,acc2,That animation quality was insane! 🍜,185,👍
191,2026-01-01 14:20:00,acc3,My favorite moment in Frieren still gives me chills 🤔,178,😂
192,2026-01-01 14:22:00,acc4,No spoilers please! 🤔,,😮
193,2026-01-01 14:24:00,acc1,Opening theme has been stuck in my head. 🎉,187,😎
194,2026-01-01 14:26:00,acc2,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 😀,,😮
195,2026-01-01 14:28:00,acc3,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 🔥,185,❤️
196,2026-01-01 14:30:00,acc4,No spoilers please! 😂,,💯
197,2026-01-01 14:32:00,acc1,Who's your favorite character from My Hero Academia? 🤔,193,
198,2026-01-01 14:34:00,acc2,Opening theme has been stuck in my head. 🔥,,❤️
199,2026-01-01 14:36:00,acc3,Opening theme has been stuck in my head. ⚡,,😮
200,2026-01-01 14:38:00,acc4,That animation quality was insane! 🤔,,
201,2026-01-01 14:40:00,acc1,"Quote of the day: ""Power comes in response to a need."" 😀",,
202,2026-01-01 14:42:00,acc2,"Quote of the day: ""A lesson without pain is meaningless."" 😎",198,😮
203,2026-01-01 14:44:00,acc3,I'm rewatching Frieren this weekend. 😀,189,😂
204,2026-01-01 14:46:00,acc4,No spoilers please! ✨,200,👏
205,2026-01-01 14:48:00,acc1,Anyone watching Bleach lately? 😭,190,👏
206,2026-01-01 14:50:00,acc2,That animation quality was insane! 🙌,,💯
207,2026-01-01 14:52:00,acc3,Opening theme has been stuck in my head. 🎉,202,👏
208,2026-01-01 14:54:00,acc4,That animation quality was insane! ❤️,200,❤️
209,2026-01-01 14:56:00,acc1,I think today's episode was incredible! ❤️,194,😎
210,2026-01-01 14:58:00,acc2,I think today's episode was incredible! ❤️,,😂
211,2026-01-01 15:00:00,acc3,"Quote of the day: ""A lesson without pain is meaningless."" 😎",,😂
212,2026-01-01 15:02:00,acc4,Opening theme has been stuck in my head. ⚡,203,
213,2026-01-01 15:04:00,acc1,I'm rewatching Solo Leveling this weekend. 🔥,,😭
214,2026-01-01 15:06:00,acc2,I think today's episode was incredible! 😀,202,😭
215,2026-01-01 15:08:00,acc3,Who's your favorite character from My Hero Academia? 🤔,,❤️
216,2026-01-01 15:10:00,acc4,Anyone watching Haikyuu!! lately? ✨,,
217,2026-01-01 15:12:00,acc1,No spoilers please! ⚡,,👍
218,2026-01-01 15:14:00,acc2,My favorite moment in My Hero Academia still gives me chills 🙌,204,👍
219,2026-01-01 15:16:00,acc3,No spoilers please! ⚡,205,👏
220,2026-01-01 15:18:00,acc4,I think today's episode was incredible! 😭,204,👏
221,2026-01-01 15:20:00,acc1,That animation quality was insane! ✨,,
222,2026-01-01 15:22:00,acc2,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 👀,210,💯
223,2026-01-01 15:24:00,acc3,No spoilers please! 😎,,👏
224,2026-01-01 15:26:00,acc4,That animation quality was insane! 😂,208,👏
225,2026-01-01 15:28:00,acc1,I'm rewatching Frieren this weekend. 🤔,,😂
226,2026-01-01 15:30:00,acc2,My favorite moment in Jujutsu Kaisen still gives me chills 🍜,218,😎
227,2026-01-01 15:32:00,acc3,Opening theme has been stuck in my head. 📚,,💯
228,2026-01-01 15:34:00,acc4,Opening theme has been stuck in my head. 🍜,214,😭
229,2026-01-01 15:36:00,acc1,"Quote of the day: ""Power comes in response to a need."" 💯",222,😮
230,2026-01-01 15:38:00,acc2,Who's your favorite character from My Hero Academia? ❤️,226,😭
231,2026-01-01 15:40:00,acc3,I'm rewatching Fullmetal Alchemist this weekend. ⚡,227,💯
232,2026-01-01 15:42:00,acc4,Opening theme has been stuck in my head. 🎉,,😮
233,2026-01-01 15:44:00,acc1,I think today's episode was incredible! 🍜,218,😎
234,2026-01-01 15:46:00,acc2,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 🎉,,😎
235,2026-01-01 15:48:00,acc3,"Quote of the day: ""People's dreams never end."" 📚",233,👏
236,2026-01-01 15:50:00,acc4,No spoilers please! 😭,,💯
237,2026-01-01 15:52:00,acc1,I think today's episode was incredible! 😀,234,👏
238,2026-01-01 15:54:00,acc2,I'm rewatching Jujutsu Kaisen this weekend. 😎,224,😭
239,2026-01-01 15:56:00,acc3,My favorite moment in My Hero Academia still gives me chills 📚,,🔥
240,2026-01-01 15:58:00,acc4,That animation quality was insane! ✨,,😮
241,2026-01-01 16:00:00,acc1,"Quote of the day: ""People's dreams never end."" 😀",,
242,2026-01-01 16:02:00,acc2,I'm rewatching My Hero Academia this weekend. 🍜,226,😎
243,2026-01-01 16:04:00,acc3,That animation quality was insane! 😎,,👏
244,2026-01-01 16:06:00,acc4,My favorite moment in Hunter x Hunter still gives me chills 🔥,233,❤️
245,2026-01-01 16:08:00,acc1,That animation quality was insane! 😀,233,👍
246,2026-01-01 16:10:00,acc2,My favorite moment in Dragon Ball still gives me chills ❤️,241,👏
247,2026-01-01 16:12:00,acc3,I think today's episode was incredible! ✨,233,😭
248,2026-01-01 16:14:00,acc4,Random anime fact: Many anime openings become chart-topping songs. 🎉,,😭
249,2026-01-01 16:16:00,acc1,"Quote of the day: ""A lesson without pain is meaningless."" 😀",238,😮
250,2026-01-01 16:18:00,acc2,Anyone watching Haikyuu!! lately? 😎,237,😮
251,2026-01-01 16:20:00,acc3,My favorite moment in Dragon Ball still gives me chills 😎,241,💯
252,2026-01-01 16:22:00,acc4,I'm rewatching My Hero Academia this weekend. 🔥,241,😎
253,2026-01-01 16:24:00,acc1,That animation quality was insane! 😂,250,😂
254,2026-01-01 16:26:00,acc2,I think today's episode was incredible! 😂,242,😭
255,2026-01-01 16:28:00,acc3,I'm rewatching Vinland Saga this weekend. 🤔,,👏
256,2026-01-01 16:30:00,acc4,That animation quality was insane! 😂,,😂
257,2026-01-01 16:32:00,acc1,I'm rewatching One Piece this weekend. 💯,,❤️
258,2026-01-01 16:34:00,acc2,That animation quality was insane! 🤔,242,
259,2026-01-01 16:36:00,acc3,I think today's episode was incredible! 🤔,,❤️
260,2026-01-01 16:38:00,acc4,I think today's episode was incredible! 😭,247,❤️
261,2026-01-01 16:40:00,acc1,No spoilers please! ⚡,,😎
262,2026-01-01 16:42:00,acc2,I'm rewatching Attack on Titan this weekend. 🙌,,
263,2026-01-01 16:44:00,acc3,My favorite moment in Frieren still gives me chills ❤️,,❤️
264,2026-01-01 16:46:00,acc4,I think today's episode was incredible! 😂,259,❤️
265,2026-01-01 16:48:00,acc1,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 🙌,257,🔥
266,2026-01-01 16:50:00,acc2,I'm rewatching Attack on Titan this weekend. ❤️,,😎
267,2026-01-01 16:52:00,acc3,Opening theme has been stuck in my head. 🔥,252,😮
268,2026-01-01 16:54:00,acc4,That animation quality was insane! ✨,265,
269,2026-01-01 16:56:00,acc1,My favorite moment in Bleach still gives me chills 💯,,😎
270,2026-01-01 16:58:00,acc2,Opening theme has been stuck in my head. 💯,,😂
271,2026-01-01 17:00:00,acc3,My favorite moment in Vinland Saga still gives me chills 🍜,259,😂
272,2026-01-01 17:02:00,acc4,No spoilers please! 🤔,269,❤️
273,2026-01-01 17:04:00,acc1,Random anime fact: Voice actors in Japan are called seiyuu. 😎,266,😎
274,2026-01-01 17:06:00,acc2,Opening theme has been stuck in my head. 👀,,
275,2026-01-01 17:08:00,acc3,Anyone watching Solo Leveling lately? 🍜,,
276,2026-01-01 17:10:00,acc4,Opening theme has been stuck in my head. 🎉,,👍
277,2026-01-01 17:12:00,acc1,Who's your favorite character from Death Note? 😎,273,💯
278,2026-01-01 17:14:00,acc2,Anyone watching Frieren lately? 🙌,,💯
279,2026-01-01 17:16:00,acc3,Opening theme has been stuck in my head. 🤔,,👏
280,2026-01-01 17:18:00,acc4,I think today's episode was incredible! 🎉,265,👏
281,2026-01-01 17:20:00,acc1,I'm rewatching Hunter x Hunter this weekend. 😎,,❤️
282,2026-01-01 17:22:00,acc2,Opening theme has been stuck in my head. 🍜,,😂
283,2026-01-01 17:24:00,acc3,Random anime fact: Attack on Titan changed many viewers' expectations of anime. ❤️,275,😭
284,2026-01-01 17:26:00,acc4,My favorite moment in Death Note still gives me chills 😀,276,😭
285,2026-01-01 17:28:00,acc1,Anyone watching Hunter x Hunter lately? 🤔,,😭
286,2026-01-01 17:30:00,acc2,My favorite moment in Death Note still gives me chills 😀,,😮
287,2026-01-01 17:32:00,acc3,That animation quality was insane! 😀,,😎
288,2026-01-01 17:34:00,acc4,My favorite moment in Fullmetal Alchemist still gives me chills 😎,,😭
289,2026-01-01 17:36:00,acc1,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 😂,279,👏
290,2026-01-01 17:38:00,acc2,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 🎉,,😎
291,2026-01-01 17:40:00,acc3,Anyone watching Haikyuu!! lately? 😀,,👏
292,2026-01-01 17:42:00,acc4,Opening theme has been stuck in my head. 🔥,278,👏
293,2026-01-01 17:44:00,acc1,Who's your favorite character from Solo Leveling? 👀,285,😎
294,2026-01-01 17:46:00,acc2,I'm rewatching Death Note this weekend. 😎,283,👏
295,2026-01-01 17:48:00,acc3,Anyone watching Attack on Titan lately? 😎,283,
296,2026-01-01 17:50:00,acc4,I'm rewatching Hunter x Hunter this weekend. 👀,,
297,2026-01-01 17:52:00,acc1,Opening theme has been stuck in my head. 😀,282,🔥
298,2026-01-01 17:54:00,acc2,Random anime fact: One Piece is among the best-selling manga series. 😭,,🔥
299,2026-01-01 17:56:00,acc3,I'm rewatching Vinland Saga this weekend. 📚,294,👍
300,2026-01-01 17:58:00,acc4,I think today's episode was incredible! ✨,291,😎
301,2026-01-01 18:00:00,acc1,No spoilers please! ⚡,,👏
302,2026-01-01 18:02:00,acc2,"Quote of the day: ""The world isn't perfect, but it's beautiful."" ❤️",,😮
303,2026-01-01 18:04:00,acc3,"Quote of the day: ""Power comes in response to a need."" 🙌",294,👏
304,2026-01-01 18:06:00,acc4,Who's your favorite character from Death Note? 📚,,
305,2026-01-01 18:08:00,acc1,Random anime fact: One Piece is among the best-selling manga series. 🎉,,😮
306,2026-01-01 18:10:00,acc2,Who's your favorite character from Bleach? 💯,293,🔥
307,2026-01-01 18:12:00,acc3,My favorite moment in Steins;Gate still gives me chills 🔥,300,🔥
308,2026-01-01 18:14:00,acc4,"Quote of the day: ""Keep moving forward."" ❤️",,💯
309,2026-01-01 18:16:00,acc1,Random anime fact: Many anime openings become chart-topping songs. 😂,,😎
310,2026-01-01 18:18:00,acc2,"Quote of the day: ""The world isn't perfect, but it's beautiful."" ⚡",298,👏
311,2026-01-01 18:20:00,acc3,My favorite moment in Frieren still gives me chills 📚,298,😎
312,2026-01-01 18:22:00,acc4,Random anime fact: Voice actors in Japan are called seiyuu. 📚,296,💯
313,2026-01-01 18:24:00,acc1,Anyone watching Death Note lately? 📚,,
314,2026-01-01 18:26:00,acc2,No spoilers please! ⚡,312,😂
315,2026-01-01 18:28:00,acc3,My favorite moment in My Hero Academia still gives me chills 🎉,,😭
316,2026-01-01 18:30:00,acc4,I think today's episode was incredible! 😀,309,🔥
317,2026-01-01 18:32:00,acc1,That animation quality was insane! 🍜,302,💯
